"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.002004168E-2,1.052051505E-1,-1.245737600E-1,-3.781695494E0
4.006904166E-2,2.346023519E-1,3.787943244E-2,-3.536626992E0
5.011904167E-2,3.595631976E-1,-4.509080350E-3,-3.104042376E0
6.016804167E-2,2.767305722E-1,-2.798570967E-1,-2.790490699E0
7.021804168E-2,-7.552373372E-3,-6.283862329E-1,-2.665333972E0
8.026704166E-2,-2.091188887E-1,-9.207315204E-1,-2.764578179E0
9.031704167E-2,-2.580399839E-1,-1.085392914E0,-3.218185288E0
1.003660417E-1,-1.128728237E-1,-1.104545761E0,-3.638525834E0
1.104150417E-1,2.140144335E-1,-1.039076826E0,-3.954728054E0
1.204650417E-1,2.895863519E-1,-7.463488385E-1,-3.981893633E0
1.305140417E-1,2.097311104E-1,-1.291465750E-1,-3.597500600E0
1.405640417E-1,2.410166012E-1,6.303965056E-1,-2.711653860E0
1.506130417E-1,3.778638497E-1,1.144500663E0,-1.721603306E0
1.606630417E-1,5.590332485E-1,1.291649645E0,-1.014391928E0
1.707120417E-1,8.118424047E-1,1.090668272E0,-6.152978253E-1
1.807620417E-1,9.683066596E-1,7.202682102E-1,-2.279016620E-1
1.908110417E-1,9.016774180E-1,3.790650505E-1,1.424276483E-1
2.008610417E-1,7.495124745E-1,5.554708689E-2,5.208354717E-1
2.109100417E-1,5.998909968E-1,-1.721548927E-1,1.039354277E0
2.209590417E-1,4.464947759E-1,-1.945517752E-1,1.809517363E0
2.310090417E-1,2.343775264E-1,-7.063641161E-2,2.697837474E0
2.410580417E-1,1.392565571E-2,-3.333088338E-2,3.398330401E0
2.511080417E-1,-3.152595024E-1,-1.406612045E-1,3.617381133E0
2.611570417E-1,-5.381778748E-1,-1.464043397E-1,3.414185711E0
2.712070417E-1,-3.769652423E-1,1.216153613E-1,3.182883309E0
2.812560417E-1,-1.763925160E-1,6.317942825E-1,2.934466690E0
2.913060417E-1,-1.739537155E-1,1.207143930E0,2.585718868E0
3.013550417E-1,-1.279598095E-1,1.609973527E0,2.307406606E0
3.114050417E-1,-9.285415001E-2,1.659285436E0,1.966314543E0
3.214540417E-1,9.878731973E-2,1.399765832E0,1.894715388E0
3.315030417E-1,1.931925168E-1,9.547854120E-1,2.427593200E0
3.415530417E-1,4.204433106E-2,3.129821581E-1,3.301438529E0
3.516020417E-1,-1.358504809E-1,-3.852584213E-1,4.147784404E0
3.616520417E-1,-1.444231568E-1,-9.976975429E-1,4.798362574E0
3.717010417E-1,-9.506878294E-2,-1.398337357E0,5.321819353E0
3.817510417E-1,-1.023130446E-1,-1.597774774E0,5.301809011E0
3.917991667E-1,8.089235477E-2,-1.593117759E0,4.520756071E0
4.018491667E-1,2.724613921E-1,-1.220912369E0,3.383113022E0
4.118981667E-1,2.171354031E-1,-5.476797464E-1,2.025253893E0
4.219481667E-1,2.748106572E-1,2.108163902E-1,5.425011599E-1
4.319971667E-1,5.289071875E-1,8.306311896E-1,-5.966551477E-1
4.420461667E-1,7.654076187E-1,1.004797525E0,-8.659586048E-1
4.520961667E-1,8.650519940E-1,5.792655283E-1,-2.233677310E-1
4.621451667E-1,7.252566160E-1,-1.494089314E-1,5.299126893E-1
4.721951667E-1,6.285668387E-1,-7.913931566E-1,1.043963052E0
4.822441667E-1,5.928743380E-1,-1.292407737E0,1.178456613E0
4.922941667E-1,6.278822029E-1,-1.717077269E0,1.104747198E0
5.023431667E-1,5.689221693E-1,-1.976647158E0,7.843215340E-1
5.123931667E-1,4.629077641E-1,-2.009161478E0,2.319087589E-1
5.224421667E-1,5.119713852E-1,-1.749600652E0,-5.669974852E-1
5.324921667E-1,6.571060751E-1,-1.365593242E0,-1.598958542E0
5.425411667E-1,6.565749286E-1,-9.566638300E-1,-2.379093470E0
5.525901667E-1,6.230858780E-1,-6.165657941E-1,-3.031197179E0
5.626401667E-1,6.201112533E-1,-4.196701625E-1,-3.577762154E0
5.726891667E-1,7.182408343E-1,-4.161191484E-1,-4.021741823E0
5.827391667E-1,8.996005601E-1,-4.989075360E-1,-4.276074069E0
5.927881667E-1,1.210493069E0,-5.793696088E-1,-4.359412680E0
6.028381667E-1,1.405326973E0,-7.382311490E-1,-4.148159210E0
6.128871667E-1,1.229854662E0,-9.742762282E-1,-3.599046019E0
6.229371667E-1,9.588448414E-1,-1.212064070E0,-3.267386684E0
6.329861667E-1,6.954707533E-1,-1.350431412E0,-3.167889293E0
6.430351667E-1,5.199859444E-1,-1.164687298E0,-3.116012796E0
6.530851667E-1,5.081561135E-1,-6.323079604E-1,-3.021265098E0
6.631341667E-1,5.463507474E-1,-1.546942297E-1,-2.989842162E0
6.731841667E-1,5.729955590E-1,1.725279450E-1,-3.137536397E0
6.832331667E-1,6.870596798E-1,4.087098491E-1,-3.195504524E0
6.932831667E-1,7.997883696E-1,5.816769201E-1,-2.994205354E0
7.033321667E-1,8.984468313E-1,5.932877362E-1,-2.622087380E0
7.133821667E-1,1.054106802E0,3.787455001E-1,-2.067395360E0
7.234311667E-1,9.878312436E-1,1.503485790E-1,-1.476780971E0
7.334811667E-1,1.049553867E0,-5.933462083E-3,-9.118802977E-1
7.435301667E-1,1.281565830E0,-1.754261175E-1,-4.054997277E-1
7.535791667E-1,1.384551085E0,-2.454503256E-1,5.220218718E-2
7.636291667E-1,1.470864174E0,-2.952607092E-1,5.456668425E-1
7.736781667E-1,1.520123019E0,-3.149094003E-1,9.280057490E-1
7.837281667E-1,1.387522201E0,-1.876283795E-1,1.075783600E0
7.937771667E-1,1.231582076E0,7.821908087E-2,9.917064857E-1
8.038271667E-1,1.029436668E0,4.185743943E-1,9.326613021E-1
8.138761667E-1,8.643349792E-1,7.348412257E-1,1.070129342E0
8.239261667E-1,7.850401568E-1,9.589220247E-1,1.567502276E0
8.339751667E-1,6.970698206E-1,9.084128988E-1,2.352161195E0
8.440251667E-1,6.201586888E-1,7.113272327E-1,3.068303025E0
8.540741667E-1,8.384281594E-1,5.251217732E-1,3.701636002E0
8.641231667E-1,1.091335951E0,4.503928953E-1,3.677961795E0
8.741731667E-1,1.276558566E0,5.628021079E-1,2.907912730E0
8.842221667E-1,1.516942572E0,8.986430785E-1,2.086992304E0
8.942721667E-1,1.672631705E0,1.386716893E0,1.620767487E0
9.043211667E-1,1.632853097E0,1.964894547E0,1.616963289E0
9.143711667E-1,1.496409636E0,2.148694462E0,2.099625213E0
9.244201667E-1,1.510506688E0,1.708587112E0,2.946000323E0
9.344701667E-1,1.705812608E0,9.163124871E-1,3.790411354E0
9.445191667E-1,1.921244205E0,9.928923011E-2,4.169589255E0
9.545691667E-1,2.029048443E0,-4.808636132E-1,3.959872434E0
9.646181667E-1,2.141276684E0,-6.482463008E-1,3.421369016E0
9.746671667E-1,2.166108786E0,-4.946127561E-1,2.765302064E0
9.847171667E-1,2.082068656E0,-2.326282588E-1,1.964968514E0
9.947661667E-1,2.056478609E0,9.215562701E-2,1.104800992E0
1.004816167E0,2.119760977E0,3.678369346E-1,3.708748555E-1
1.014865167E0,2.187320584E0,5.054792216E-1,6.190330267E-2
1.024915167E0,2.185161207E0,4.258629486E-1,3.172067714E-1
1.034964167E0,1.985212452E0,-3.552066565E-2,1.009438752E0
1.045014167E0,1.729012751E0,-7.107357869E-1,1.557459683E0
1.055063167E0,1.534195659E0,-1.322703331E0,1.874109215E0
1.065112167E0,1.337613877E0,-1.847036607E0,1.930896789E0
1.075162167E0,1.063976317E0,-2.171498603E0,1.474049737E0
1.085211167E0,8.196278992E-1,-2.187907645E0,5.260120118E-1
1.095261167E0,6.337013519E-1,-1.818350751E0,-7.678236151E-1
1.105310167E0,6.042748737E-1,-1.279053866E0,-1.948299857E0
1.115360167E0,7.662218434E-1,-8.158465049E-1,-2.889454240E0
1.125409167E0,1.066104704E0,-5.142746034E-1,-3.409724286E0
1.135459167E0,1.298185078E0,-4.649100700E-1,-3.487154869E0
1.145508167E0,1.383165733E0,-6.957713002E-1,-3.194449686E0
1.155558167E0,1.299133058E0,-1.113348744E0,-2.939739709E0
1.165607167E0,1.129956883E0,-1.434999107E0,-2.941764600E0
1.175656167E0,9.131941670E-1,-1.577906519E0,-3.064066132E0
1.185706167E0,6.639098221E-1,-1.458949595E0,-3.228039601E0
