"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.098597050E-2,6.098764125E1,2.566188900E1,9.653272133E1,NaN,NaN,2.226435372E1,3.000000000E1
1.352596283E-2,6.098764125E1,2.566188900E1,9.653272133E1,NaN,NaN,2.239501400E1,3.000000000E1
1.485502720E-2,6.098758543E1,2.566192357E1,9.653272133E1,NaN,NaN,2.382068434E1,3.000000000E1
5.191802979E-2,6.098758543E1,2.566192357E1,9.653272133E1,NaN,NaN,2.382086872E1,3.000003667E1
2.548038006E0,6.098770971E1,2.566174160E1,9.680466583E1,NaN,NaN,2.398332009E1,3.000000000E1
2.599394917E0,6.098768993E1,2.566173508E1,9.689531293E1,1.332978249E0,NaN,2.202346068E1,4.505163571E1
3.599395275E0,6.098770060E1,2.566172081E1,9.692954456E1,1.332978249E0,NaN,3.796136315E1,2.447089925E1
4.599395275E0,6.098771943E1,2.566163815E1,9.605586618E1,1.332978249E0,NaN,3.423058522E1,2.378910513E1
5.599395633E0,6.098764176E1,2.566149023E1,9.500415534E1,1.358014464E0,NaN,2.767444723E1,2.269845190E1
6.549395323E0,6.098768743E1,2.566148988E1,9.642441767E1,1.430833459E0,2.256512234E2,2.051374717E1,3.000000000E1
7.499395609E0,6.098769664E1,2.566141040E1,9.246646884E1,1.561644435E0,2.644677181E2,1.441659064E1,1.860660986E1
8.448420644E0,6.098768066E1,2.566139348E1,9.124876350E1,1.561644435E0,2.497468067E2,1.364282679E1,1.784941410E1
9.398145199E0,6.098766861E1,2.566136524E1,9.069247884E1,1.332498431E0,2.524191287E2,1.281559130E1,1.749741011E1
1.034814465E1,6.098764787E1,2.566134205E1,9.100531629E1,1.332498431E0,2.501463057E2,1.171384469E1,1.575047488E1
1.129809117E1,6.098765250E1,2.566132201E1,9.113865325E1,1.332498431E0,2.477315441E2,1.182646988E1,1.542650405E1
1.224808836E1,6.098764563E1,2.566129914E1,9.048766817E1,1.215701222E0,2.598474806E2,1.193284984E1,1.562188995E1
1.319808877E1,6.098763512E1,2.566128044E1,8.999341019E1,1.514677286E0,2.498143980E2,1.203488435E1,1.541919954E1
1.417807412E1,6.098762680E1,2.566126838E1,9.036118112E1,1.273680329E0,2.399827611E2,1.214047206E1,1.601743652E1
1.517807603E1,6.098759213E1,2.566124366E1,8.992961127E1,1.273680329E0,2.399827432E2,9.530168394E0,1.601743652E1
1.617807710E1,6.098757716E1,2.566122869E1,8.983758439E1,1.341243982E0,2.519853219E2,8.085935679E0,2.260415497E1
1.717838156E1,6.098757311E1,2.566122246E1,9.016645988E1,1.278512120E0,2.471644653E2,7.110579004E0,2.358081842E1
1.817837346E1,6.098756504E1,2.566120374E1,9.063310336E1,9.787667990E-1,2.615314742E2,6.797685465E0,2.579067471E1
1.917837405E1,6.098753838E1,2.566118640E1,9.070366070E1,1.264026165E0,2.456009662E2,1.094094455E1,1.788439111E1
2.017805302E1,6.098753728E1,2.566115945E1,9.108117288E1,1.264026165E0,2.531240592E2,9.122082920E0,1.500737035E1
2.117836130E1,6.098753572E1,2.566113366E1,9.123088671E1,1.279143095E0,2.532711188E2,1.181306165E1,1.962243658E1
2.217836118E1,6.098753131E1,2.566111077E1,9.155173692E1,1.279143095E0,2.492830537E2,1.184598109E1,2.014666737E1
2.317836201E1,6.098753087E1,2.566109507E1,9.179970593E1,1.145260215E0,2.519252314E2,1.239929241E1,2.138160942E1
2.417836201E1,6.098751962E1,2.566107506E1,9.221843991E1,1.289407253E0,2.430085338E2,1.847011786E1,3.317107231E1
2.517836142E1,6.098751322E1,2.566104984E1,9.233031776E1,1.230340600E0,2.458375434E2,1.489282273E1,2.576393037E1
2.617836118E1,6.098751671E1,2.566102325E1,9.258339368E1,1.230340600E0,2.563097283E2,2.241738082E1,3.924000745E1
2.717836106E1,6.098750495E1,2.566099163E1,9.311058387E1,1.147571445E0,2.379187124E2,2.049524909E1,3.525202920E1
2.817836118E1,6.098749239E1,2.566096745E1,9.339346938E1,9.413018227E-1,2.296556636E2,1.573840627E1,2.714839404E1
2.917836273E1,6.098748298E1,2.566095348E1,9.369670603E1,9.413018227E-1,2.142750794E2,1.170690854E1,2.044409797E1
3.017836142E1,6.098747600E1,2.566092256E1,9.395568907E1,9.413018227E-1,2.283017206E2,1.330614635E1,2.391421623E1
3.117836201E1,6.098747103E1,2.566088755E1,9.413146067E1,1.057912230E0,2.337971950E2,1.065901108E1,1.918866255E1
3.217836082E1,6.098747023E1,2.566084930E1,9.422120253E1,1.115543365E0,2.416401610E2,1.372749601E1,2.505061646E1
3.317836249E1,6.098746693E1,2.566082186E1,9.441968972E1,1.115543365E0,2.335422408E2,9.077390211E0,1.662440129E1
3.417836130E1,6.098747410E1,2.566079447E1,9.463421130E1,6.995527744E-1,2.554968664E2,8.967591878E0,1.638124836E1
3.517836213E1,6.098754021E1,2.566077960E1,1.041871572E2,5.212393142E-1,NaN,7.947035484E0,9.136754503E0
3.617836118E1,6.098753814E1,2.566074643E1,1.052734647E2,1.190322823E0,2.356856377E2,7.944895545E0,9.013294220E0
3.717836165E1,6.098753377E1,2.566071949E1,1.052662285E2,1.322589461E0,2.425055261E2,8.041286352E0,8.943643628E0
3.817836106E1,6.098750743E1,2.566071157E1,1.005408665E2,1.191971923E0,2.458450601E2,7.363663267E0,7.389262082E0
3.917836130E1,6.098750692E1,2.566067952E1,1.010343598E2,1.288129194E0,2.501440595E2,7.393656382E0,7.367210181E0
4.017836189E1,6.098750323E1,2.566066472E1,1.011796791E2,9.294364765E-1,2.476634297E2,7.120915633E0,7.323591919E0
4.117836201E1,6.098750018E1,2.566063494E1,1.000441473E2,8.509734307E-1,2.409552462E2,7.418413800E0,7.766563413E0
4.217836177E1,6.098749654E1,2.566061611E1,1.006279521E2,6.885597582E-1,2.326982953E2,7.769782568E0,8.374970742E0
4.317836189E1,6.098748840E1,2.566058020E1,9.984664414E1,6.226769206E-1,2.417796016E2,7.980448937E0,8.971511472E0
4.417836177E1,6.098748713E1,2.566054713E1,9.989913366E1,7.012603937E-1,2.549092017E2,8.372773398E0,9.599764357E0
4.517836165E1,6.098748110E1,2.566051511E1,9.943631335E1,7.866319122E-1,2.506851533E2,8.633954051E0,1.010290546E1
4.617836213E1,6.098747272E1,2.566047703E1,1.000604938E2,1.075080456E0,2.480719917E2,8.941718313E0,1.047785458E1
4.717836249E1,6.098746920E1,2.566045261E1,1.000425967E2,8.265522245E-1,2.492997907E2,8.687434781E0,1.030173499E1
4.817836142E1,6.098746516E1,2.566042063E1,9.967043317E1,8.813588421E-1,2.452598078E2,8.887301424E0,1.038943768E1
